,username,country,province,city,phone_terminal,content
0,蟾师的金钱世界,中国,天津,天津,微博网页版,我认识的一个人，去年底手里有几百万，我劝他别买大额存单了，跟我买股票基金吧，现在点位绝对不高，持有两三年，大概率不会亏钱，但他不听执意去买三年的大额存单，我只能感叹，现在他的存单第一年还没到，股市就转向了，咋整，假如年真拿股市承载通胀，他这大额存单直接白玩，按照价值核算，是全文
1,童以安,中国,广东,佛山,iPhone 14 Plus,社科院研究所建议发行万亿特别国债，支持股票发展，目前股票势头持续向好，应该持续注入长期稳定资金，提升资本市场的稳定，助力股市长期稳定发展增加保险公司投资股票的比例，必要时可以发行万亿特别国债，设计保险基准金，长期稳定的为股市发展保驾护航从形式上来看，股市未来一定是一个长全文
2,故里鸥鹭眷云停,中国,广东,韶关,iPhone 14 Pro,股今天缩量收阳，市场家下跌，家上涨，上涨的比例是，理论上应的人赚钱，如果你没有赚钱，那一定是昨天没听劝告追高了，比如昨天的科创芯片半导体一追涨，今天调整，别人的股票涨你手中的半导体不涨，当然只能看别人赚钱了！从今天股的走势来看，还是相对比较平稳的，当前指数高低点全文
3,仙子葡萄桃,中国,广西,崇左,,中金今天进场买股票了！今天是首次使用互换便利获得资金买入股票今天算第一天建仓，哈哈后面继续增持你观察到没，人家亲儿子建仓的时候没有大涨吧？这就是底层逻辑思维，亲儿子建仓肯定也是便宜筹码，只是比郭嘉队自己（爸爸）要贵点作为普通投资者个人，你和中金保持同步加仓，也不算不错的全文
4,赔惨了的股民廷加,中国,北京,北京,HarmonyOS设备,星期二账户净值元，浮盈元今天比亚迪是我持仓中唯一下跌的股票昨天还说它可能成为汽车股上涨龙头呢今天光伏表现好我认真准备买连城数控，拉普拉斯这是个人记录不是诱导投资
5,孔童财投,中国,北京,北京,,#股票#明天继续狂欢！晚安奋斗的青春晚安奋斗的铁粉！
6,赵如意随心记,中国,陕西,榆林,iPhone客户端,昨晚梦见我的股票突然间涨到了多万，啊，原来这是真事啊，可惜不是我的笑笑
7,彬哥看盘,中国,北京,北京,微博 weibo.com,发布了头条文章：《收盘：科技股的调整已经不可逆转》#微博股票##股##新浪财经#收盘：科技股的调整已经不可逆转
8,天津--刘军,中国,上海,上海,微博视频号,收评：板块轮动，反弹延续#微博股票#股票分析#今日看盘#天津刘军的微博视频
9,WU2024168,中国,安徽,合肥,股票超话,股票你什么时候才能稳定盈利，标准只有一个，就是那天你不在听信外在小道消息，不再去预测涨跌，只是忠于你的交易系统，耐心等待你最熟悉的交易信号，说明你就可以稳定盈利了，他靠的不是多高大上的方法，而是耐心和执行力复盘买在无人问津卖在人声鼎沸，清仓北交所，等待下一波龙头
10,parce-l,中国,北京,北京,iPhone客户端,早睡早睡明天揭幕战+今天打板买了两支股票一个期待一个刺激必红！
11,打板一哥老谭,中国,广东,广州,,华为正式发布纯血鸿蒙系统，成为与苹果系统和谷歌安卓系统鼎足并立的第三大操作系统华为概念和华为支付方向的主要股票周二大幅分化调整，短线自主可控的利好兑现，下一个关注华为的方向应放在半导体芯片领域，华为相关概念遇回调应有反复活跃机会机会，此外华为急迫进军的是人工全文
12,ii浑浑噩噩,中国,湖北,武汉,iPhone客户端,重温斗鱼直播时满是兴奋的听歌，现在换平台了揣手，陈一发这狗崽子还能播多久？听说股票亏了二白多万，哈哈哈🤣
13,小马每天都在开心,中国,安徽,安庆,iPhone客户端,翻到大学时期做的小组作业，当时做的比亚迪盈利能力分析，我最后分析的结果是如果不调整经营模式，比亚迪公司会在年内面临公司破产的风险😅比这个分析结论更让我难受的是，当时整个小组选题是我选的，是我做的，上讲台展示是我讲的最后整个小组只有我没有买比亚迪的股票，当时股价，今天全文
14,七休-,中国,湖南,长沙,东方财富手机版,#东方财富##股票#【中药材重磅政策！事关穿山甲、羚羊角、熊胆粉、冬虫夏草……】濒危药材，指被列入《国家重点保护野生动物名录》《国家重点保护野生植物名录》等的动植物种濒危药材在临床上一直用于急症、重症和慢性病的治疗，因具有疗效确切、起效快、作用强等特点月日，国家药监局与国家中全文
15,馨馨有好股,中国,广东,佛山,,正准备入睡！今晚证券市场的消息不得了，必须和大家分享一下，特别是其中个增量资金政策，再次给股传递积极信号！慢牛行情正在酝酿，无需怀疑！你知道为什么吗？另外两个科技风口有望继续爆发！还在对股耿耿于怀，操作方向上不明确的朋友，务必来看看！认真看完，相信让你茅塞顿开！具体如下：、全文
