,username,country,province,city,phone_terminal,content
0,西安陈小群,中国,陕西,西安,微博网页版,低空三傻涨起来的时候，海直就是比万丰高一点估计是海直的盘子比较小吧
1,大周期趋势,中国,江苏,无锡,微博网页版,易方达旗下减持中芯国际不足半月相关基金份额已减少亿份
2,郴州冯宇轩,中国,江西,赣州,Redmi Note 12,今天是月号星期三！冯宇轩（）翻倍操作之旅的第天今日买入聚飞光电（）今日卖出美的集团()特别声明：我开实盘的目的主要是为了记录我对股走势的思考和研判，并用于记录我自己的操作笔记，是我积累股票投资知识和反省操作失误的一个平台，绝不是读者朋友买卖股票的依据全文
3,苏苏聊财经,中国,广东,韶关,股票超话,军工出现涨停潮，究竟是啥信号？ 今天国防军工出现涨停潮，板块指数涨幅超过了，坦率的说这种现象并不多见，即便是出现，也是外部局势过度紧张的时候，是事件性推动的股价大幅度向上，而目前的环境下，这种情形似乎并不明显，即便如此军工今天也表现出了明显的上涨 为什么国防军工会出现涨停潮全文
4,刀客擒龍头,中国,广东,佛山,今日看盘超话,今日看盘大盘又创日内新高了，板块方面，领涨的是军工+新能源，都是支线热点，主线退潮和分歧阶段，直线热点遛缝儿的玩法，不建议追，还是多看科技这个方向，找主线龙头的低吸机会做#股票##上证指数##股#
5,飞云冉冉YR,中国,湖北,,,最近总结一下，就是啥啥都不顺，大的方面一个没有，小的方面中奖啥的有屁用，股票还在亏钱，
6,大道至简小哥哥,中国,广东,东莞,iPhone客户端,点股没有一只低估股票，股票泡沫严重
7,西安陈小群,中国,陕西,西安,微博网页版,宗申上板后我刚刚割了万丰反手选了海直主要是海直早上比万丰先一步翻红今天就这样吧
8,鹰眼逻辑8,中国,广东,韶关,A股超话,到目前为止，沪深两市成交额突破万亿，较昨日此时缩量近亿内资大幅流出超过亿元，机构继续砸盘，散户疯狂承接！不知道这种承接能够坚持多久？股金融财经股票股市短线牛股#牛市##我要上微头条##大盘总结#今日头条热搜
9,YYYJJJNN,中国,贵州,,iPhone客户端,股票是个好东西牛马上班的兴奋剂
10,投鱼问道,中国,江苏,南京,微博网页版,#海能达月日来累涨#，人生无常，股票也无常半年前，因为马来团队被整体挖走，被起诉知识产权，不少地方不让上架销售，岌岌可危，一度连续跌停，后来赶上了传呼机爆炸事件，被游资爆炒，连续翻倍不过游资爆炒一般也不持久，来得快，去的也快
11,52号微博copy,中国,上海,上海,微博网页版,在我看來，這是目前商品產業中最重要的宏觀發展之一礦業中最遭人厭惡的部分，現在相對於整體市場而言，已經有所突破在我看來，現在不是抨擊這些股票表現不佳的時候全文
12,大白熊财经1,日本,日本,,区块链超话,作为一个年比特币老玩家我真的谴责一下目前的币圈可能会得罪一些人，但是我还是要说我身边太多朋友这一轮割惨了割的信用卡刷爆了，家庭幸福也没了币圈红利期过了，赚钱真的难币圈龙头大饼，没跑赢美股龙头英伟达平台币没跑赢股票以太坊连都没跑赢，完犊子让圈外人怎么进场全文
13,A总舵主,中国,广东,韶关,财经超话,收盘了，权重也开始动了，保险、白酒、券商都在涨，天风证券又要回封，看的出来，资金强度很高，流动性足够充沛，行情没什么问题，但个股分化的比较厉害，目前还是有多支股票下跌，最近几天都这样，不管指数涨跌，板块和个股层面都有分化，追着买热点很容易吃土，像今天领涨的军工、新能源属于标准全文
14,否极泰董宝珍,中国,北京,北京,微博视频号,识别股市场中现在的两种牛#股票##投资##股#抖音搜索董宝珍关注老董抖音号否极泰董宝珍的微博视频
15,连板宝儿,中国,广东,韶关,股票超话,收盘了，权重也开始动了，保险、白酒、券商都在涨，天风证券又要回封，看的出来，资金强度很高，流动性足够充沛，行情没什么问题，但个股分化的比较厉害，目前还是有多支股票下跌，最近几天都这样，不管指数涨跌，板块和个股层面都有分化，追着买热点很容易吃土，像今天领涨的军工、新能源属于标准全文
16,Thomas_Yu,中国,四川,成都,iPhone 15 Pro Max,回复看星星的@看星星的这是个问题，不过指数涨幅也有明显的效应，所以哪怕分析不出个股，再宽一步做一个小篮子股票把那部分框进来，也能做到超额当然，大超额收益最大来源最不是择股，是择时跪了看星星的@看星星的回复@但过去贡献的接下来是否还会持续贡献，可能是个问题
17,馨馨有好股,中国,广东,佛山,,【广佛首套房贷利率全面进入“”时代利率接近市场最低位】自新一期调整后，广州、佛山两地各家商业银行陆续跟进出台最新房贷利率定价政策，多家银行机构首套房贷利率已经处于以内值得注意的是，随着年期以上年内累计降幅，商业银行房贷利率可下调空间趋紧，国有大行首套房贷利率下调全文
18,鹰眼逻辑8,中国,广东,韶关,A股超话,天风证券涨停第二波新高，年内累计涨幅，有望成为年内第一个翻倍的券商股！昨天鹰眼分析，市场牛市喊得震天响，但券商股却没有一个翻倍，券商今天大涨领涨，但年内涨幅也仅如果是牛市，券商至少是要翻几倍，参考年大牛市，年大牛市，基本是市场成交放量几倍，券商涨几倍，券全文
19,天气预报plus,中国,湖南,益阳,iPhone客户端,国晟科技（）索赔条件：凡于年月日至年月日（含当日）期间买入，并于年月日及之后卖出或持有而亏损的投资者，均可提出索赔（最终索赔条件以法院判决为准）
20,沉默的猪_Coco,中国,浙江,杭州,微博 HTML5 版,在微博上看男女对立吵架，不如看手上股票涨跌淦，大盘在涨，为啥我买的股票不涨
21,清风明月lwsd,中国,北京,北京,东方财富手机版,#东方财富##股票#【原生鸿蒙系统正式发布！系统底座全部自研余承东：生态设备已超亿台】中国首个国产移动操作系统正式发布东方财富资讯(来自东方财富网@东方财富网)
22,鹰眼逻辑8,中国,广东,韶关,A股超话,今天期权市场平稳交割，但从开盘一个小时的表现，可以看出，科创板，创业板是明显的弱，是明显的多空双杀，且多头更弱这说明上周五暴涨，特别是创业板，科创板的暴涨，对多空都是极大的消耗反而第二波相对滞涨的上证，沪深，今天期权多头明显强，权重蓝筹存在补涨预期权重蓝筹补涨的资金全文
23,盘面要对照,中国,浙江,宁波,微博网页版,今天通信就还可以，对得住还能打的高度，人家这股票名字起得：海能达，还能打！哈哈哈哈哈哈
24,赵子龙之云看盘,中国,江苏,宿迁,荣耀90 GT,行情这么好，来调查一下大家仓位！#股##股票##股民#网页链接
25,安徽蒙城检察,中国,安徽,亳州,微博视频号,#法律人#【一方在婚前经营公司所得的财产，离婚时配偶能要求分割吗？】婚前财产未做公证，我的个人财产是我婚前经营公司所得离婚时，老公要分割我的个人财产，包括我名下的股票、基金，以及公司注销后转存在我个人账户的财产，我该如何维权？#今日说法#今日说法的微博视频
26,A股陈诗婷,中国,广东,,微博网页版,收盘，权重也开始动了，保险、白酒、券商都在涨，天风证券又要回封，看的出来，资金强度很高，流动性足够充沛，行情没什么问题，但个股分化的比较厉害，目前还是有多支股票下跌，最近几天都这样，不管指数涨跌，板块和个股层面都有分化，追着买热点很容易吃土，像今天领涨的军工、新能源属于标准的全文
27,风咒,中国,山东,青岛,微博网页版,#菲特炒股日记#昨天老润封盘，翔哥心态有点爆炸——翔哥：好难受啊……感觉我爱错股票了，挑错人了翔哥：是不是其实老润也没有那么棒，哎，来首爱错，感觉他还是有挺多缺点的，有点被他了##
28,股期远航者,中国,上海,上海,股指期货超话,盐湖提锂技术获得重大突破：相关工艺将生产周期从年缩短至个月，利好盐湖提锂相关股票，利空碳酸锂原材料！期货股指期货
29,酒旗风尚V,中国,广东,,iPhone客户端,金信诺，军工电子，上涨趋势股市股票#股#
30,小盛同学oo,中国,浙江,金华,画饼大师Android,开学第一课不要吃着碗里的，看着锅里的你选择股票的同时，股票也在选择你
31,鹰眼逻辑8,中国,广东,韶关,A股超话,大盘又创日内新高了，板块方面，领涨的是军工+新能源，都是支线热点，主线退潮和分歧阶段，直线热点遛缝儿的玩法，不建议追，还是多看科技这个方向，找主线龙头的低吸机会做股金融财经股票股市短线牛股#牛市##我要上微头条##大盘总结#全文
32,海笑的世界,中国,广东,广州,微博网页版,股票市场，最难的是等待，最有效的也是等待
33,神之手张八哥,中国,广东,,iPhone 15 Pro Max,今日的股，不对劲！主力早盘在诱空，示弱！不出意外，接下来的行情会超预期了……、港股大涨！中小创继续活跃，三大指数依旧上涨为主股票又是普涨，如此好的行情，有人天天在纠结牛市，我认为挣钱才是王道，在好行情的时候，你享受利润，在不好的行情的时候才能熬过下跌主板，依旧需要白酒上全文
34,大妖妖,中国,安徽,合肥,互动可加群iPhone 16 Pro Max(沙漠色钛金属),大消费：•定义：大消费板块是指生产和销售的产品或提供的服务直接用于个人消费的相关行业的股票集合•涵盖范围：•食品饮料：这是大消费板块中最具代表性的细分领域之一，包括白酒、啤酒、乳制品、调味品、休闲食品等例如贵州茅台、五粮液等白酒企业，伊利股份等乳制品企业，海天味业等全文
35,一剑封九妖,中国,北京,北京,iPhone 15,这种攻击年线力度  
